anxiety,overwhelmed,overwhelming
anxiety,fear,scared,paranoid,terrified ,petrified
anxiety,worried,worry
anxiety,anxiety,anxious
bye,Bye
cancer,cancer
confused,don't know
confused,unsure
confused,confusion
coronavirus,coronavirus,corona,virus check,virus,COVID-19,COVID,coronavirus,corona-virus,carona-virus,Carona,Korona,Korona-virus,COVID19
diabetes,diabetes,diabetic
goodafternoon,Good afternoon
goodevening,Good evening
goodmorning,good moring
goodmorning,Good morning
goodmorning,morning
goodmorning,mrng
goodmorning,mrning
goodnight,Good night
goodnight,goodnight
howareyou,how,is life
know,know,knowledge,information,knowing
landmark,times square,times sqaure,time square,time sqaure
landmark,empire state building,emprire state,empire state
landmark,grand central
location,USA,US,America,United States,United States of America
location,UK,United Kingdom
location,Pakistan
location,Argentina
location,Bangladesh
location,Brazil
location,Canada
location,Chile
location,China
location,Colombia
location,France
location,Germany
location,India,Indian
location,Indonesia
location,Iran
location,Italy
location,Mexico
location,Peru
location,Russia
location,Saudi Arabia
location,South Africa
location,Spain
location,Turkey
okay,ok
okay,kay
okay,k
okay,okay done
okay,okay
originated,originate,originated,originate from ,point of originate,originating,originate country
originated,outbreak,first outbreak,initial outbreak
reply,no,not now,not at this time,nope,i think not,dont think so,don't think so,definitely not
reply,yes,yep,you betcha,you bet,yes,yeah,why not,sure,please,ok,let's do it,go for it,definitely
willitend,end,ending
willitend,uncertain
